#gene_list: list_Tneg.txt#RNAstr.filter: S|minL|maxL : 0|20|1000
#OVERLAPfilter: gene|feat|cover. : 1|2|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 44/76/76
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 75/51118/51366
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G10660.2	protein_coding_gene	1	3532424	3535131	+	2708	1
vf_1_142694	RNA	1	3534107	3534127	169	20	-
AT1G19680.1	protein_coding_gene	1	6805457	6807862	+	2406	1
ef_1_172405	RNA	1	6807434	6807456	110	22	-
AT1G26665.2	protein_coding_gene	1	9214174	9215552	+	1379	1
vf_1_193113	RNA	1	9215004	9215034	212	30	-
AT1G26670.1	protein_coding_gene	1	9215901	9218010	+	2110	1
vf_1_193127	RNA	1	9217011	9217093	190	82	-
AT1G43580.1	protein_coding_gene	1	16410532	16412728	-	2197	5
ef_1_30601	RNA	1	16410951	16411021	142	70	-
vf_1_30607	RNA	1	16411459	16411512	170	53	-
vf_1_30609	RNA	1	16411786	16411810	186	24	-
ef_1_30613	RNA	1	16412439	16412482	100	43	-
ef_1_30615	RNA	1	16412542	16412604	177	62	-
AT1G45230.1	protein_coding_gene	1	17169537	17171472	-	1936	2
vf_1_33531	RNA	1	17169901	17169927	189	26	-
ef_1_33532	RNA	1	17169941	17170033	116	92	-
AT1G49240.1	protein_coding_gene	1	18215872	18218313	+	2442	9
vf_1_39450	RNA	1	18216722	18216759	178	37	-
ef_1_39451	RNA	1	18216776	18217009	390	233	-
vf_1_39453	RNA	1	18217242	18217265	226	23	-
vf_1_39454	RNA	1	18217281	18217414	157	133	-
vf_1_39455	RNA	1	18217433	18217504	252	71	-
vf_1_39457	RNA	1	18217556	18217616	287	60	-
vf_1_39458	RNA	1	18217623	18217694	285	71	-
ef_1_39458	RNA	1	18217660	18217700	106	40	-
vf_1_39460	RNA	1	18217884	18217946	309	62	-
AT1G50320.1	protein_coding_gene	1	18638384	18639536	-	1153	1
vf_1_42484	RNA	1	18639159	18639180	181	21	-
AT1G52740.1	protein_coding_gene	1	19645268	19646482	+	1215	2
vf_1_49127	RNA	1	19645994	19646055	201	61	-
ef_1_49127	RNA	1	19645995	19646055	135	60	-
AT1G55000.1	protein_coding_gene	1	20514634	20516496	+	1863	1
ef_1_58820	RNA	1	20514893	20514929	176	36	-
AT1G56280.1	protein_coding_gene	1	21072855	21074877	-	2023	1
vf_1_63107	RNA	1	21074079	21074102	234	23	-
AT1G64230.4	protein_coding_gene	1	23833551	23835536	+	1986	1
vf_1_82624	RNA	1	23833805	23833842	337	37	-
AT1G70660.1	protein_coding_gene	1	26640565	26642149	+	1585	2
vf_1_105704	RNA	1	26640961	26641093	193	132	-
vf_1_105705	RNA	1	26641444	26641488	234	44	-
AT1G74880.1	protein_coding_gene	1	28129858	28131077	-	1220	2
vf_1_118030	RNA	1	28130257	28130291	247	34	-
vf_1_118033	RNA	1	28130501	28130553	208	52	-
AT2G06010.1	protein_coding_gene	2	2336814	2338902	+	2089	1
vf_2_79200	RNA	2	2338073	2338117	169	44	-
AT2G35830.2	protein_coding_gene	2	15052199	15053275	+	1077	1
vf_2_41263	RNA	2	15052341	15052362	206	21	-
AT2G39000.1	protein_coding_gene	2	16286336	16287970	-	1635	1
vf_2_50810	RNA	2	16286539	16286565	276	26	-
AT2G39570.1	protein_coding_gene	2	16507896	16510198	+	2303	1
ef_2_52525	RNA	2	16509383	16509448	134	65	-
AT2G45670.1	protein_coding_gene	2	18814709	18818463	-	3755	2
ef_2_70955	RNA	2	18817594	18817633	117	39	-
vf_2_70956	RNA	2	18817662	18817705	170	43	-
AT2G47910.1	protein_coding_gene	2	19614698	19615769	+	1072	2
vf_2_77509	RNA	2	19615294	19615412	182	118	-
ef_2_77509	RNA	2	19615295	19615411	300	116	-
AT3G23255.2	protein_coding_gene	3	8311722	8313125	+	1404	1
vf_3_134622	RNA	3	8312520	8312542	203	22	-
AT3G26630.1	protein_coding_gene	3	9791371	9792985	-	1615	1
ef_3_147310	RNA	3	9792016	9792041	103	25	-
AT3G55530.1	protein_coding_gene	3	20595126	20597603	-	2478	4
vf_3_58608	RNA	3	20595385	20595405	198	20	-
vf_3_58617	RNA	3	20596357	20596378	223	21	-
vf_3_58620	RNA	3	20596601	20596711	186	110	-
vf_3_58625	RNA	3	20597121	20597141	159	20	-
AT3G58490.1	protein_coding_gene	3	21632812	21635106	+	2295	1
vf_3_68928	RNA	3	21633568	21633609	158	41	-
AT3G60590.3	protein_coding_gene	3	22398228	22399904	+	1677	3
vf_3_74727	RNA	3	22399082	22399108	292	26	-
vf_3_74733	RNA	3	22399503	22399528	436	25	-
vf_3_74735	RNA	3	22399637	22399662	154	25	-
AT3G62290.1	protein_coding_gene	3	23051544	23053817	+	2274	1
vf_3_79986	RNA	3	23052288	23052363	180	75	-
AT3G62650.2	protein_coding_gene	3	23168061	23169187	+	1127	1
ef_3_80755	RNA	3	23168709	23168769	162	60	-
AT4G03030.1	protein_coding_gene	4	1335729	1337368	-	1640	2
ef_4_24830	RNA	4	1336847	1336918	165	71	-
ef_4_24831	RNA	4	1336931	1336965	120	34	-
AT4G09830.1	protein_coding_gene	4	6188767	6190853	+	2087	1
vf_4_86704	RNA	4	6190556	6190576	221	20	-
AT4G17730.2	protein_coding_gene	4	9865103	9867022	+	1920	2
vf_4_113595	RNA	4	9865501	9865528	162	27	-
ef_4_113603	RNA	4	9866292	9866341	105	49	-
AT4G17790.1	protein_coding_gene	4	9891051	9892807	+	1757	1
vf_4_113799	RNA	4	9892086	9892139	165	53	-
AT4G18370.1	protein_coding_gene	4	10149129	10151218	+	2090	2
vf_4_115651	RNA	4	10149699	10149730	192	31	-
vf_4_115659	RNA	4	10150784	10150809	201	25	-
AT4G22570.1	protein_coding_gene	4	11882126	11885421	-	3296	3
vf_4_13605	RNA	4	11882661	11882687	174	26	-
vf_4_13609	RNA	4	11882902	11882949	278	47	-
ef_4_13618	RNA	4	11884772	11884816	188	44	-
AT4G22753.1	protein_coding_gene	4	11949164	11953648	-	4485	2
ef_4_14073	RNA	4	11952341	11952425	133	84	-
ef_4_14091	RNA	4	11953560	11953580	330	20	-
AT4G22750.2	protein_coding_gene	4	11949180	11951424	-	2245	1
vf_4_14060	RNA	4	11950404	11950430	190	26	-
AT4G24972.1	protein_coding_gene	4	12837353	12839823	+	2471	1
ef_4_23323	RNA	4	12839538	12839560	114	22	-
AT4G25910.1	protein_coding_gene	4	13163929	13165205	+	1277	2
vf_4_27779	RNA	4	13164526	13164705	194	179	-
vf_4_27784	RNA	4	13164999	13165085	154	86	-
AT5G02150.1	protein_coding_gene	5	424291	426079	-	1789	1
vf_5_124312	RNA	5	424494	424526	151	32	-
AT5G10140.1	protein_coding_gene	5	3173497	3179448	-	5952	1
vf_5_117498	RNA	5	3179245	3179283	171	38	-
AT5G17400.1	protein_coding_gene	5	5728789	5730376	-	1588	2
vf_5_141138	RNA	5	5729632	5729673	187	41	-
ef_5_141144	RNA	5	5729958	5730016	182	58	-
AT5G20520.1	protein_coding_gene	5	6943154	6946454	-	3301	1
vf_5_150658	RNA	5	6945567	6945621	199	54	-
AT5G41700.4	protein_coding_gene	5	16675582	16677509	+	1928	1
ef_5_29524	RNA	5	16677097	16677182	112	85	-
AT5G44520.1	protein_coding_gene	5	17934287	17936527	-	2241	1
vf_5_38131	RNA	5	17935003	17935035	188	32	-
AT5G52960.1	protein_coding_gene	5	21477146	21478437	+	1292	1
vf_5_66168	RNA	5	21477479	21477624	167	145	-
