LIST	SCORE	LENGTH	NAME
allgenesArray.121.S415 (N=1803)	657	10	vf_1_21710
allgenesArray.121.S415 (N=1803)	468	42	vf_1_21751
allgenesArray.121.S415 (N=1803)	558	13	vf_1_21940
allgenesArray.121.S415 (N=1803)	475	15	vf_1_22014
allgenesArray.121.S415 (N=1803)	443	16	vf_1_22020
allgenesArray.121.S415 (N=1803)	476	14	vf_1_22296
allgenesArray.121.S415 (N=1803)	529	22	vf_1_22507
allgenesArray.121.S415 (N=1803)	471	22	vf_1_22520
allgenesArray.121.S415 (N=1803)	483	12	vf_1_22565
allgenesArray.121.S415 (N=1803)	662	16	vf_1_22742
allgenesArray.121.S415 (N=1803)	416	8	vf_1_22952
allgenesArray.121.S415 (N=1803)	451	11	vf_1_22972
allgenesArray.121.S415 (N=1803)	494	19	vf_1_23051
allgenesArray.121.S415 (N=1803)	486	26	vf_1_23363
allgenesArray.121.S415 (N=1803)	577	18	vf_1_23729
allgenesArray.121.S415 (N=1803)	470	11	vf_1_23732
allgenesArray.121.S415 (N=1803)	555	13	vf_1_23865
allgenesArray.121.S415 (N=1803)	591	12	vf_1_24968
allgenesArray.121.S415 (N=1803)	455	10	vf_1_149918
allgenesArray.121.S415 (N=1803)	467	10	vf_1_150027
allgenesArray.121.S415 (N=1803)	441	8	vf_1_150119
allgenesArray.121.S415 (N=1803)	513	14	vf_1_150122
allgenesArray.121.S415 (N=1803)	433	14	vf_1_150591
allgenesArray.121.S415 (N=1803)	580	17	vf_1_150645
allgenesArray.121.S415 (N=1803)	419	17	vf_1_150697
allgenesArray.121.S415 (N=1803)	483	10	vf_1_150722
allgenesArray.121.S415 (N=1803)	512	49	vf_1_150724
allgenesArray.121.S415 (N=1803)	417	25	vf_1_151214
allgenesArray.121.S415 (N=1803)	431	11	vf_1_151431
allgenesArray.121.S415 (N=1803)	426	8	vf_1_151432
allgenesArray.121.S415 (N=1803)	448	25	ef_1_151580
allgenesArray.121.S415 (N=1803)	429	13	vf_1_151614
allgenesArray.121.S415 (N=1803)	437	20	vf_1_151747
allgenesArray.121.S415 (N=1803)	463	19	vf_1_152376
allgenesArray.121.S415 (N=1803)	467	13	vf_1_152378
allgenesArray.121.S415 (N=1803)	426	30	vf_1_152733
allgenesArray.121.S415 (N=1803)	530	26	vf_1_153201
allgenesArray.121.S415 (N=1803)	493	16	vf_1_182600
allgenesArray.121.S415 (N=1803)	472	27	vf_1_183264
allgenesArray.121.S415 (N=1803)	584	21	vf_1_183399
allgenesArray.121.S415 (N=1803)	505	12	vf_1_183717
allgenesArray.121.S415 (N=1803)	625	13	vf_1_184172
allgenesArray.121.S415 (N=1803)	478	15	vf_1_184446
allgenesArray.121.S415 (N=1803)	485	14	vf_1_184556
allgenesArray.121.S415 (N=1803)	492	16	vf_1_184829
allgenesArray.121.S415 (N=1803)	437	46	ef_1_184883
allgenesArray.121.S415 (N=1803)	461	21	vf_1_185154
allgenesArray.121.S415 (N=1803)	686	21	vf_1_185188
allgenesArray.121.S415 (N=1803)	454	12	vf_1_185212
allgenesArray.121.S415 (N=1803)	464	13	vf_1_185325
allgenesArray.121.S415 (N=1803)	454	14	vf_1_185337
allgenesArray.121.S415 (N=1803)	432	25	vf_1_185585
allgenesArray.121.S415 (N=1803)	454	18	vf_1_185682
allgenesArray.121.S415 (N=1803)	481	21	vf_1_185693
allgenesArray.121.S415 (N=1803)	454	16	vf_1_11246
allgenesArray.121.S415 (N=1803)	552	57	vf_1_11273
allgenesArray.121.S415 (N=1803)	626	17	vf_1_11353
allgenesArray.121.S415 (N=1803)	423	10	vf_1_11729
allgenesArray.121.S415 (N=1803)	415	120	ef_1_12417
allgenesArray.121.S415 (N=1803)	421	46	vf_1_12421
allgenesArray.121.S415 (N=1803)	428	50	vf_1_12426
allgenesArray.121.S415 (N=1803)	446	8	vf_1_12687
allgenesArray.121.S415 (N=1803)	489	14	vf_1_12977
