#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 122/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 432/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G03150.1	protein_coding_gene	1	756414	758612	+	2199	3
vf_1_152891	RNA	1	756650	756738	185	88	-
vf_1_152894	RNA	1	757939	758009	198	70	-
vf_1_152895	RNA	1	758198	758262	163	64	-
AT1G05810.1	protein_coding_gene	1	1748314	1749460	+	1147	6
ef_1_28314	RNA	1	1748506	1748541	171	35	-
vf_1_28315	RNA	1	1748548	1748565	213	17	-
vf_1_28316	RNA	1	1748581	1748708	275	127	-
vf_1_28318	RNA	1	1748748	1748779	237	31	-
vf_1_28319	RNA	1	1749028	1749076	188	48	-
vf_1_28321	RNA	1	1749132	1749157	377	25	-
AT1G07170.1	protein_coding_gene	1	2200123	2201265	+	1143	2
vf_1_55527	RNA	1	2200773	2200834	165	61	-
ef_1_55529	RNA	1	2200945	2200984	108	39	-
AT1G08210.1	protein_coding_gene	1	2577020	2580669	-	3650	2
vf_1_89532	RNA	1	2578865	2578906	243	41	-
vf_1_89543	RNA	1	2579838	2579846	561	8	-
AT1G08700.1	protein_coding_gene	1	2769815	2771477	-	1663	1
vf_1_91214	RNA	1	2770711	2770729	151	18	-
AT1G12910.1	protein_coding_gene	1	4394897	4396291	-	1395	6
vf_1_149576	RNA	1	4395134	4395150	372	16	-
vf_1_149578	RNA	1	4395208	4395237	200	29	-
vf_1_149580	RNA	1	4395290	4395360	206	70	-
vf_1_149585	RNA	1	4395673	4395687	165	14	-
vf_1_149586	RNA	1	4395697	4395741	206	44	-
vf_1_149592	RNA	1	4395985	4396104	264	119	-
AT1G13380.1	protein_coding_gene	1	4589071	4590423	-	1353	3
ef_1_154476	RNA	1	4589243	4589274	116	31	-
vf_1_154478	RNA	1	4589435	4589443	429	8	-
vf_1_154483	RNA	1	4590283	4590303	264	20	-
AT1G14400.1	protein_coding_gene	1	4927011	4928690	-	1680	5
vf_1_157243	RNA	1	4927301	4927427	260	126	-
ef_1_157243	RNA	1	4927313	4927419	225	106	-
vf_1_157245	RNA	1	4927709	4927722	598	13	-
vf_1_157246	RNA	1	4927745	4927763	209	18	-
vf_1_157249	RNA	1	4928022	4928130	254	108	-
AT1G15390.1	protein_coding_gene	1	5294629	5295797	+	1169	1
vf_1_160172	RNA	1	5295019	5295065	257	46	-
AT1G15930.2	protein_coding_gene	1	5471400	5473014	+	1615	2
vf_1_161659	RNA	1	5472371	5472402	228	31	-
vf_1_161660	RNA	1	5472516	5472568	274	52	-
AT1G16920.1	protein_coding_gene	1	5787330	5789249	-	1920	6
vf_1_164400	RNA	1	5787637	5787645	283	8	-
vf_1_164402	RNA	1	5787727	5787783	172	56	-
vf_1_164403	RNA	1	5787829	5787843	158	14	-
vf_1_164407	RNA	1	5788929	5789059	156	130	-
ef_1_164407	RNA	1	5789018	5789066	132	48	-
vf_1_164408	RNA	1	5789101	5789114	477	13	-
AT1G21710.1	protein_coding_gene	1	7624396	7626116	+	1721	2
ef_1_178469	RNA	1	7624945	7624970	137	25	-
vf_1_178472	RNA	1	7625343	7625351	287	8	-
AT1G27650.1	protein_coding_gene	1	9614551	9616357	+	1807	5
vf_1_195742	RNA	1	9615158	9615172	334	14	-
vf_1_195743	RNA	1	9615185	9615253	285	68	-
vf_1_195745	RNA	1	9615382	9615402	500	20	-
vf_1_195746	RNA	1	9615428	9615471	214	43	-
vf_1_195751	RNA	1	9615635	9615667	173	32	-
AT1G28960.1	protein_coding_gene	1	10109500	10111660	-	2161	3
vf_1_199072	RNA	1	10110453	10110475	179	22	-
vf_1_199074	RNA	1	10110545	10110556	191	11	-
vf_1_199076	RNA	1	10110992	10111003	254	11	-
AT1G30230.2	protein_coding_gene	1	10638911	10640782	+	1872	2
ef_1_2086	RNA	1	10640279	10640323	202	44	-
vf_1_2088	RNA	1	10640370	10640398	241	28	-
AT1G43130.1	protein_coding_gene	1	16228208	16231233	-	3026	3
vf_1_26778	RNA	1	16228873	16228891	264	18	-
vf_1_26784	RNA	1	16229458	16229538	255	80	-
vf_1_26789	RNA	1	16230189	16230213	167	24	-
AT1G47270.1	protein_coding_gene	1	17326556	17328728	+	2173	6
vf_1_34276	RNA	1	17327299	17327311	241	12	-
vf_1_34282	RNA	1	17327634	17327652	178	18	-
vf_1_34294	RNA	1	17328302	17328329	779	27	-
vf_1_34295	RNA	1	17328340	17328384	215	44	-
vf_1_34298	RNA	1	17328505	17328562	239	57	-
ef_1_34298	RNA	1	17328546	17328568	110	22	-
AT1G48440.1	protein_coding_gene	1	17906987	17908534	+	1548	1
vf_1_37321	RNA	1	17907123	17907131	163	8	-
AT1G51200.1	protein_coding_gene	1	18984419	18986653	+	2235	6
ef_1_44651	RNA	1	18985771	18985802	297	31	-
ef_1_44654	RNA	1	18986034	18986054	108	20	-
ef_1_44655	RNA	1	18986061	18986071	137	10	-
ef_1_44656	RNA	1	18986094	18986127	219	33	-
ef_1_44657	RNA	1	18986136	18986170	537	34	-
ef_1_44658	RNA	1	18986181	18986214	247	33	-
AT1G53120.1	protein_coding_gene	1	19792757	19794778	+	2022	2
vf_1_50100	RNA	1	19793418	19793429	173	11	-
