#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 0|20|1000
#OVERLAPfilter: gene|feat|cover. : 1|2|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 81/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 195/51118/51366
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G05810.1	protein_coding_gene	1	1748314	1749460	+	1147	4
ef_1_28314	RNA	1	1748506	1748541	171	35	-
vf_1_28316	RNA	1	1748581	1748708	275	127	-
vf_1_28319	RNA	1	1749028	1749076	188	48	-
vf_1_28321	RNA	1	1749132	1749157	377	25	-
AT1G07170.1	protein_coding_gene	1	2200123	2201265	+	1143	2
vf_1_55527	RNA	1	2200773	2200834	165	61	-
ef_1_55529	RNA	1	2200945	2200984	108	39	-
AT1G08210.1	protein_coding_gene	1	2577020	2580669	-	3650	1
vf_1_89532	RNA	1	2578865	2578906	243	41	-
AT1G12910.1	protein_coding_gene	1	4394897	4396291	-	1395	4
vf_1_149578	RNA	1	4395208	4395237	200	29	-
vf_1_149580	RNA	1	4395290	4395360	206	70	-
vf_1_149586	RNA	1	4395697	4395741	206	44	-
vf_1_149592	RNA	1	4395985	4396104	264	119	-
AT1G13380.1	protein_coding_gene	1	4589071	4590423	-	1353	2
ef_1_154476	RNA	1	4589243	4589274	116	31	-
vf_1_154483	RNA	1	4590283	4590303	264	20	-
AT1G14400.1	protein_coding_gene	1	4927011	4928690	-	1680	2
ef_1_157243	RNA	1	4927313	4927419	225	106	-
vf_1_157249	RNA	1	4928022	4928130	254	108	-
AT1G16920.1	protein_coding_gene	1	5787330	5789249	-	1920	3
vf_1_164402	RNA	1	5787727	5787783	172	56	-
vf_1_164407	RNA	1	5788929	5789059	156	130	-
ef_1_164407	RNA	1	5789018	5789066	132	48	-
AT1G21710.1	protein_coding_gene	1	7624396	7626116	+	1721	1
ef_1_178469	RNA	1	7624945	7624970	137	25	-
AT1G27650.1	protein_coding_gene	1	9614551	9616357	+	1807	4
vf_1_195743	RNA	1	9615185	9615253	285	68	-
vf_1_195745	RNA	1	9615382	9615402	500	20	-
vf_1_195746	RNA	1	9615428	9615471	214	43	-
vf_1_195751	RNA	1	9615635	9615667	173	32	-
AT1G30230.2	protein_coding_gene	1	10638911	10640782	+	1872	2
ef_1_2086	RNA	1	10640279	10640323	202	44	-
vf_1_2088	RNA	1	10640370	10640398	241	28	-
AT1G43130.1	protein_coding_gene	1	16228208	16231233	-	3026	2
vf_1_26784	RNA	1	16229458	16229538	255	80	-
vf_1_26789	RNA	1	16230189	16230213	167	24	-
AT1G47270.1	protein_coding_gene	1	17326556	17328728	+	2173	3
vf_1_34294	RNA	1	17328302	17328329	779	27	-
vf_1_34295	RNA	1	17328340	17328384	215	44	-
vf_1_34298	RNA	1	17328505	17328562	239	57	-
AT1G51200.1	protein_coding_gene	1	18984419	18986653	+	2235	4
ef_1_44651	RNA	1	18985771	18985802	297	31	-
ef_1_44654	RNA	1	18986034	18986054	108	20	-
ef_1_44656	RNA	1	18986094	18986127	219	33	-
ef_1_44657	RNA	1	18986136	18986170	537	34	-
AT1G55880.1	protein_coding_gene	1	20898898	20901183	-	2286	1
ef_1_61867	RNA	1	20900059	20900085	121	26	-
AT1G63980.1	protein_coding_gene	1	23740516	23743302	+	2787	1
ef_1_81846	RNA	1	23740656	23740701	101	45	-
AT1G73010.1	protein_coding_gene	1	27464572	27466256	-	1685	3
ef_1_112316	RNA	1	27464933	27464961	192	28	-
vf_1_112322	RNA	1	27465397	27465426	399	29	-
vf_1_112329	RNA	1	27466032	27466078	187	46	-
AT1G75630.2	protein_coding_gene	1	28400544	28402355	+	1812	6
vf_1_119922	RNA	1	28400681	28400724	502	43	-
vf_1_119923	RNA	1	28400834	28400868	168	34	-
ef_1_119923	RNA	1	28400846	28400873	127	27	-
vf_1_119924	RNA	1	28400875	28400952	178	77	-
ef_1_119924	RNA	1	28400883	28400947	270	64	-
vf_1_119925	RNA	1	28400984	28401006	241	22	-
AT2G02760.1	protein_coding_gene	2	773684	775371	+	1688	1
vf_2_88258	RNA	2	774272	774321	223	49	-
AT2G15240.1	protein_coding_gene	2	6615525	6618974	-	3450	1
vf_2_91000	RNA	2	6616160	6616201	157	41	-
AT2G16650.1	protein_coding_gene	2	7215819	7218395	-	2577	1
vf_2_93657	RNA	2	7216352	7216393	150	41	-
AT2G18030.1	protein_coding_gene	2	7840067	7841823	+	1757	2
vf_2_98110	RNA	2	7840369	7840407	246	38	-
vf_2_98119	RNA	2	7841401	7841477	153	76	-
AT2G19340.1	protein_coding_gene	2	8373766	8375939	-	2174	2
ef_2_101762	RNA	2	8375420	8375479	121	59	-
vf_2_101764	RNA	2	8375533	8375607	222	74	-
AT2G24790.1	protein_coding_gene	2	10566898	10568145	+	1248	2
vf_2_3475	RNA	2	10567110	10567159	246	49	-
vf_2_3490	RNA	2	10567833	10567868	204	35	-
AT2G27500.1	protein_coding_gene	2	11752170	11754028	-	1859	2
ef_2_13498	RNA	2	11753617	11753642	123	25	-
