chromosome	start	end	id	score@@peak	strand
chr1	785	873	ds_3	5.43592@@790	-
chr1	12226	12285	ds_11	4.43822@@12260	-
chr1	34122	34173	ds_36	3.85707@@34126	-
chr1	34502	34584	ds_38	4.43822@@34553	-
chr1	36849	36923	ds_46	5.43592@@36898	-
chr1	37123	37184	ds_48	3.85707@@37147	-
chr1	44679	44753	ds_52	5.57324@@44724	-
chr1	55692	55759	ds_74	4.73017@@55736	-
chr1	56422	56488	ds_79	5.80581@@56436	-
chr1	63627	63678	ds_92	4.43822@@63657	-
chr1	65329	65395	ds_94	4.6598@@65358	-
chr1	74136	74191	ds_103	3.85707@@74148	-
chr1	77316	77404	ds_107	8.84077@@77372	-
chr1	77460	77535	ds_109	5.25276@@77480	-
chr1	126692	126743	ds_160	3.85707@@126706	-
chr1	172237	172304	ds_193	4.43822@@172256	-
chr1	222286	222361	ds_218	3.85707@@222301	-
chr1	238699	238767	ds_248	4.85192@@238727	-
chr1	239193	239267	ds_254	6.7572@@239225	-
chr1	255847	255938	ds_261	6.17239@@255912	-
chr1	292121	292617	ds_299	9.99739@@292224	-
chr1	306403	306455	ds_323	5.82266@@306431	-
chr1	321020	321071	ds_337	4.43822@@321034	-
chr1	331295	331346	ds_348	3.85707@@331309	-
chr1	360236	360335	ds_412	3.85707@@360241	-
chr1	360416	360483	ds_413	5.17322@@360453	-
chr1	403781	403851	ds_451	4.85192@@403783	-
chr1	431327	431396	ds_482	8.66233@@431349	-
chr1	431916	432012	ds_487	6.2911@@431995	-
chr1	433038	433138	ds_491	5.95944@@433111	-
chr1	433150	433332	ds_492	6.12847@@433171	-
chr1	433347	433611	ds_493	5.62337@@433504	-
chr1	443634	443700	ds_509	3.85707@@443663	-
chr1	446661	446726	ds_514	4.85192@@446682	-
chr1	447163	447305	ds_518	8.97948@@447179	-
chr1	464138	464201	ds_545	3.85707@@464173	-
chr1	498289	498358	ds_566	4.43822@@498295	-
chr1	500375	500475	ds_571	3.92383@@500459	-
chr1	512962	513081	ds_578	5.25237@@512984	-
chr1	540549	540599	ds_603	9.06193@@540570	-
chr1	587578	587628	ds_635	9.50975@@587610	-
chr1	595957	596049	ds_651	4.85192@@595978	-
chr1	599674	599762	ds_666	3.85707@@599689	-
chr1	648951	649087	ds_748	5.02148@@648993	-
chr1	667223	667283	ds_767	4.43822@@667246	-
chr1	670662	670729	ds_775	7.30968@@670683	-
chr1	714327	714383	ds_829	4.43822@@714359	-
chr1	722428	722504	ds_858	3.85707@@722463	-
chr1	724309	724391	ds_864	3.85707@@724339	-
chr1	737280	737343	ds_898	3.85707@@737306	-
chr1	812053	812126	ds_947	4.43822@@812089	-
chr1	822260	822319	ds_964	6.30985@@822298	-
chr1	823513	823576	ds_967	4.16437@@823539	-
chr1	870185	870240	ds_1008	3.85707@@870203	-
chr1	875672	875816	ds_1028	6.28532@@875679	-
chr1	878908	878967	ds_1032	3.85707@@878930	-
chr1	891145	891202	ds_1061	3.85707@@891165	-
chr1	931230	931289	ds_1089	6.1003@@931233	-
chr1	936839	936964	ds_1090	4.43822@@936941	-
chr1	937227	937293	ds_1092	5.00303@@937287	-
chr1	937421	937486	ds_1094	4.39902@@937450	-
chr1	958754	958812	ds_1114	7.3738@@958763	-
chr1	1032281	1032332	ds_1168	3.85707@@1032299	-
chr1	1067127	1067185	ds_1205	4.43822@@1067128	-
chr1	1075791	1075854	ds_1223	3.85707@@1075817	-
chr1	1076609	1076666	ds_1226	3.85707@@1076629	-
chr1	1079267	1079317	ds_1237	4.85192@@1079292	-
chr1	1080384	1080439	ds_1240	4.43822@@1080402	-
chr1	1142218	1142301	ds_1285	4.43822@@1142267	-
chr1	1142956	1143010	ds_1289	5.17322@@1142981	-
chr1	1163821	1163874	ds_1335	3.85707@@1163837	-
chr1	1182089	1182152	ds_1343	3.85707@@1182115	-
chr1	1184785	1184903	ds_1348	7.30968@@1184850	-
chr1	1187613	1187670	ds_1359	3.85707@@1187624	-
chr1	1195042	1195117	ds_1379	4.71564@@1195099	-
chr1	1215769	1215831	ds_1401	4.86879@@1215829	-
chr1	1291023	1291083	ds_1474	3.85707@@1291046	-
chr1	1303767	1303828	ds_1488	3.85707@@1303804	-
chr1	1304629	1304685	ds_1492	3.85707@@1304648	-
chr1	1332138	1332193	ds_1507	4.43822@@1332164	-
chr1	1369470	1369534	ds_1558	3.85707@@1369514	-
chr1	1370084	1370139	ds_1563	4.43822@@1370134	-
chr1	1371269	1371320	ds_1567	3.85707@@1371290	-
chr1	1389606	1389681	ds_1590	3.90167@@1389633	-
chr1	1417972	1418049	ds_1636	5.02148@@1417992	-
chr1	1430263	1430430	ds_1650	7.07563@@1430284	-
chr1	1442517	1442568	ds_1674	3.63318@@1442545	-
chr1	1475055	1475113	ds_1720	4.02556@@1475096	-
chr1	1476519	1476589	ds_1726	5.06217@@1476566	-
chr1	1491449	1491517	ds_1757	3.85707@@1491463	-
chr1	1514909	1514962	ds_1787	3.85707@@1514925	-
chr1	1563271	1563321	ds_1827	4.43822@@1563284	-
chr1	1586227	1586307	ds_1844	5.17322@@1586285	-
chr1	1592422	1592516	ds_1850	8.57812@@1592493	-
chr1	1592558	1592616	ds_1851	4.43822@@1592575	-
