#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 415|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|2|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 20/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 21/4335/4364
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G08210.1	protein_coding_gene	1	2577020	2580669	-	3650	1
vf_1_89543	RNA	1	2579838	2579846	561	8	-
AT1G13380.1	protein_coding_gene	1	4589071	4590423	-	1353	1
vf_1_154478	RNA	1	4589435	4589443	429	8	-
AT1G14400.1	protein_coding_gene	1	4927011	4928690	-	1680	1
vf_1_157245	RNA	1	4927709	4927722	598	13	-
AT1G16920.1	protein_coding_gene	1	5787330	5789249	-	1920	1
vf_1_164408	RNA	1	5789101	5789114	477	13	-
AT1G27650.1	protein_coding_gene	1	9614551	9616357	+	1807	1
vf_1_195745	RNA	1	9615382	9615402	500	20	-
AT1G47270.1	protein_coding_gene	1	17326556	17328728	+	2173	1
vf_1_34294	RNA	1	17328302	17328329	779	27	-
AT1G51200.1	protein_coding_gene	1	18984419	18986653	+	2235	1
ef_1_44657	RNA	1	18986136	18986170	537	34	-
AT1G75630.2	protein_coding_gene	1	28400544	28402355	+	1812	1
vf_1_119922	RNA	1	28400681	28400724	502	43	-
AT2G19340.1	protein_coding_gene	2	8373766	8375939	-	2174	1
vf_2_101762	RNA	2	8375452	8375466	583	14	-
AT2G29400.1	protein_coding_gene	2	12613081	12615399	-	2319	1
vf_2_19545	RNA	2	12614542	12614556	610	14	-
AT2G37410.1	protein_coding_gene	2	15697834	15699275	-	1442	1
ef_2_46317	RNA	2	15698717	15698818	425	101	-
AT3G09500.1	protein_coding_gene	3	2916952	2918108	+	1157	1
vf_3_87598	RNA	3	2917220	2917274	448	54	-
AT3G12120.1	protein_coding_gene	3	3860285	3863050	-	2766	1
vf_3_98091	RNA	3	3860969	3860981	518	12	-
AT3G24120.2	protein_coding_gene	3	8705636	8708315	-	2680	2
vf_3_137448	RNA	3	8706629	8706643	516	14	-
vf_3_137456	RNA	3	8707958	8707981	470	23	-
AT4G00720.1	protein_coding_gene	4	293641	297314	-	3674	1
vf_4_76779	RNA	4	294653	294665	494	12	-
AT4G11240.1	protein_coding_gene	4	6847112	6849300	+	2189	1
vf_4_90564	RNA	4	6848030	6848044	581	14	-
AT4G29870.1	protein_coding_gene	4	14606001	14606674	+	674	1
vf_4_39215	RNA	4	14606210	14606273	433	63	-
AT4G31720.2	protein_coding_gene	4	15353952	15356352	-	2401	1
vf_4_45115	RNA	4	15355616	15355628	481	12	-
AT5G06340.1	protein_coding_gene	5	1936366	1938114	+	1749	1
vf_5_42590	RNA	5	1936830	1936840	873	10	-
AT5G54390.1	protein_coding_gene	5	22085998	22088017	+	2020	1
vf_5_73398	RNA	5	22086922	22086939	483	17	-
