LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121.L15 (N=337)	171	35	ef_1_28314
list_ALL_noLOADneg.121.L15 (N=337)	213	17	vf_1_28315
list_ALL_noLOADneg.121.L15 (N=337)	275	127	vf_1_28316
list_ALL_noLOADneg.121.L15 (N=337)	188	48	vf_1_28319
list_ALL_noLOADneg.121.L15 (N=337)	377	25	vf_1_28321
list_ALL_noLOADneg.121.L15 (N=337)	165	61	vf_1_55527
list_ALL_noLOADneg.121.L15 (N=337)	108	39	ef_1_55529
list_ALL_noLOADneg.121.L15 (N=337)	243	41	vf_1_89532
list_ALL_noLOADneg.121.L15 (N=337)	151	18	vf_1_91214
list_ALL_noLOADneg.121.L15 (N=337)	169	20	vf_1_142694
list_ALL_noLOADneg.121.L15 (N=337)	372	16	vf_1_149576
list_ALL_noLOADneg.121.L15 (N=337)	200	29	vf_1_149578
list_ALL_noLOADneg.121.L15 (N=337)	206	70	vf_1_149580
list_ALL_noLOADneg.121.L15 (N=337)	206	44	vf_1_149586
list_ALL_noLOADneg.121.L15 (N=337)	264	119	vf_1_149592
list_ALL_noLOADneg.121.L15 (N=337)	116	31	ef_1_154476
list_ALL_noLOADneg.121.L15 (N=337)	264	20	vf_1_154483
list_ALL_noLOADneg.121.L15 (N=337)	200	17	vf_1_154989
list_ALL_noLOADneg.121.L15 (N=337)	225	106	ef_1_157243
list_ALL_noLOADneg.121.L15 (N=337)	209	18	vf_1_157246
list_ALL_noLOADneg.121.L15 (N=337)	254	108	vf_1_157249
list_ALL_noLOADneg.121.L15 (N=337)	172	56	vf_1_164402
list_ALL_noLOADneg.121.L15 (N=337)	156	130	vf_1_164407
list_ALL_noLOADneg.121.L15 (N=337)	132	48	ef_1_164407
list_ALL_noLOADneg.121.L15 (N=337)	110	22	ef_1_172405
list_ALL_noLOADneg.121.L15 (N=337)	137	25	ef_1_178469
list_ALL_noLOADneg.121.L15 (N=337)	212	30	vf_1_193113
list_ALL_noLOADneg.121.L15 (N=337)	190	82	vf_1_193127
list_ALL_noLOADneg.121.L15 (N=337)	285	68	vf_1_195743
list_ALL_noLOADneg.121.L15 (N=337)	500	20	vf_1_195745
list_ALL_noLOADneg.121.L15 (N=337)	214	43	vf_1_195746
list_ALL_noLOADneg.121.L15 (N=337)	173	32	vf_1_195751
list_ALL_noLOADneg.121.L15 (N=337)	182	44	vf_1_198434
list_ALL_noLOADneg.121.L15 (N=337)	202	44	ef_1_2086
list_ALL_noLOADneg.121.L15 (N=337)	241	28	vf_1_2088
list_ALL_noLOADneg.121.L15 (N=337)	264	18	vf_1_26778
list_ALL_noLOADneg.121.L15 (N=337)	255	80	vf_1_26784
list_ALL_noLOADneg.121.L15 (N=337)	167	24	vf_1_26789
list_ALL_noLOADneg.121.L15 (N=337)	142	70	ef_1_30601
list_ALL_noLOADneg.121.L15 (N=337)	170	53	vf_1_30607
list_ALL_noLOADneg.121.L15 (N=337)	186	24	vf_1_30609
list_ALL_noLOADneg.121.L15 (N=337)	100	43	ef_1_30613
list_ALL_noLOADneg.121.L15 (N=337)	289	19	vf_1_30614
list_ALL_noLOADneg.121.L15 (N=337)	177	62	ef_1_30615
list_ALL_noLOADneg.121.L15 (N=337)	189	26	vf_1_33531
list_ALL_noLOADneg.121.L15 (N=337)	116	92	ef_1_33532
list_ALL_noLOADneg.121.L15 (N=337)	779	27	vf_1_34294
list_ALL_noLOADneg.121.L15 (N=337)	215	44	vf_1_34295
list_ALL_noLOADneg.121.L15 (N=337)	239	57	vf_1_34298
list_ALL_noLOADneg.121.L15 (N=337)	178	37	vf_1_39450
list_ALL_noLOADneg.121.L15 (N=337)	390	233	ef_1_39451
list_ALL_noLOADneg.121.L15 (N=337)	226	23	vf_1_39453
list_ALL_noLOADneg.121.L15 (N=337)	157	133	vf_1_39454
list_ALL_noLOADneg.121.L15 (N=337)	252	71	vf_1_39455
list_ALL_noLOADneg.121.L15 (N=337)	365	19	vf_1_39456
list_ALL_noLOADneg.121.L15 (N=337)	287	60	vf_1_39457
list_ALL_noLOADneg.121.L15 (N=337)	285	71	vf_1_39458
list_ALL_noLOADneg.121.L15 (N=337)	106	40	ef_1_39458
list_ALL_noLOADneg.121.L15 (N=337)	309	62	vf_1_39460
list_ALL_noLOADneg.121.L15 (N=337)	166	16	vf_1_42481
list_ALL_noLOADneg.121.L15 (N=337)	181	21	vf_1_42484
list_ALL_noLOADneg.121.L15 (N=337)	297	31	ef_1_44651
list_ALL_noLOADneg.121.L15 (N=337)	108	20	ef_1_44654
list_ALL_noLOADneg.121.L15 (N=337)	219	33	ef_1_44656
list_ALL_noLOADneg.121.L15 (N=337)	537	34	ef_1_44657
list_ALL_noLOADneg.121.L15 (N=337)	201	61	vf_1_49127
list_ALL_noLOADneg.121.L15 (N=337)	135	60	ef_1_49127
list_ALL_noLOADneg.121.L15 (N=337)	176	36	ef_1_58820
list_ALL_noLOADneg.121.L15 (N=337)	121	26	ef_1_61867
list_ALL_noLOADneg.121.L15 (N=337)	234	23	vf_1_63107
list_ALL_noLOADneg.121.L15 (N=337)	101	45	ef_1_81846
list_ALL_noLOADneg.121.L15 (N=337)	337	37	vf_1_82624
list_ALL_noLOADneg.121.L15 (N=337)	193	132	vf_1_105704
list_ALL_noLOADneg.121.L15 (N=337)	234	44	vf_1_105705
list_ALL_noLOADneg.121.L15 (N=337)	192	28	ef_1_112316
list_ALL_noLOADneg.121.L15 (N=337)	314	15	vf_1_112319
list_ALL_noLOADneg.121.L15 (N=337)	399	29	vf_1_112322
list_ALL_noLOADneg.121.L15 (N=337)	270	16	vf_1_112324
list_ALL_noLOADneg.121.L15 (N=337)	187	46	vf_1_112329
list_ALL_noLOADneg.121.L15 (N=337)	247	34	vf_1_118030
list_ALL_noLOADneg.121.L15 (N=337)	208	52	vf_1_118033
list_ALL_noLOADneg.121.L15 (N=337)	502	43	vf_1_119922
list_ALL_noLOADneg.121.L15 (N=337)	168	34	vf_1_119923
list_ALL_noLOADneg.121.L15 (N=337)	127	27	ef_1_119923
list_ALL_noLOADneg.121.L15 (N=337)	178	77	vf_1_119924
list_ALL_noLOADneg.121.L15 (N=337)	270	64	ef_1_119924
list_ALL_noLOADneg.121.L15 (N=337)	241	22	vf_1_119925
list_ALL_noLOADneg.121.L15 (N=337)	223	49	vf_2_88258
list_ALL_noLOADneg.121.L15 (N=337)	169	44	vf_2_79200
list_ALL_noLOADneg.121.L15 (N=337)	189	15	vf_2_90478
list_ALL_noLOADneg.121.L15 (N=337)	263	17	vf_2_90484
list_ALL_noLOADneg.121.L15 (N=337)	157	41	vf_2_91000
list_ALL_noLOADneg.121.L15 (N=337)	150	41	vf_2_93657
list_ALL_noLOADneg.121.L15 (N=337)	246	38	vf_2_98110
list_ALL_noLOADneg.121.L15 (N=337)	153	76	vf_2_98119
list_ALL_noLOADneg.121.L15 (N=337)	121	59	ef_2_101762
list_ALL_noLOADneg.121.L15 (N=337)	222	74	vf_2_101764
list_ALL_noLOADneg.121.L15 (N=337)	277	16	vf_2_3473
list_ALL_noLOADneg.121.L15 (N=337)	246	49	vf_2_3475
list_ALL_noLOADneg.121.L15 (N=337)	204	35	vf_2_3490
list_ALL_noLOADneg.121.L15 (N=337)	363	17	vf_2_13484
list_ALL_noLOADneg.121.L15 (N=337)	123	25	ef_2_13498
list_ALL_noLOADneg.121.L15 (N=337)	175	23	vf_2_13498
list_ALL_noLOADneg.121.L15 (N=337)	193	29	vf_2_18244
list_ALL_noLOADneg.121.L15 (N=337)	164	119	vf_2_19537
list_ALL_noLOADneg.121.L15 (N=337)	122	45	ef_2_19539
list_ALL_noLOADneg.121.L15 (N=337)	194	88	vf_2_19544
list_ALL_noLOADneg.121.L15 (N=337)	195	55	vf_2_26542
list_ALL_noLOADneg.121.L15 (N=337)	206	21	vf_2_41263
list_ALL_noLOADneg.121.L15 (N=337)	305	28	vf_2_41990
list_ALL_noLOADneg.121.L15 (N=337)	102	20	ef_2_41993
list_ALL_noLOADneg.121.L15 (N=337)	175	44	vf_2_41995
list_ALL_noLOADneg.121.L15 (N=337)	425	101	ef_2_46317
list_ALL_noLOADneg.121.L15 (N=337)	449	17	vf_2_50809
list_ALL_noLOADneg.121.L15 (N=337)	276	26	vf_2_50810
list_ALL_noLOADneg.121.L15 (N=337)	134	65	ef_2_52525
list_ALL_noLOADneg.121.L15 (N=337)	238	115	vf_2_53148
list_ALL_noLOADneg.121.L15 (N=337)	156	211	vf_2_53152
list_ALL_noLOADneg.121.L15 (N=337)	204	247	vf_2_53153
list_ALL_noLOADneg.121.L15 (N=337)	130	144	ef_2_53153
list_ALL_noLOADneg.121.L15 (N=337)	315	134	vf_2_61666
list_ALL_noLOADneg.121.L15 (N=337)	117	39	ef_2_70955
list_ALL_noLOADneg.121.L15 (N=337)	170	43	vf_2_70956
list_ALL_noLOADneg.121.L15 (N=337)	152	15	vf_2_72476
list_ALL_noLOADneg.121.L15 (N=337)	199	168	vf_2_72494
