LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121 (N=488)	171	35	ef_1_28314
list_ALL_noLOADneg.121 (N=488)	213	17	vf_1_28315
list_ALL_noLOADneg.121 (N=488)	275	127	vf_1_28316
list_ALL_noLOADneg.121 (N=488)	188	48	vf_1_28319
list_ALL_noLOADneg.121 (N=488)	377	25	vf_1_28321
list_ALL_noLOADneg.121 (N=488)	165	61	vf_1_55527
list_ALL_noLOADneg.121 (N=488)	108	39	ef_1_55529
list_ALL_noLOADneg.121 (N=488)	243	41	vf_1_89532
list_ALL_noLOADneg.121 (N=488)	561	8	vf_1_89543
list_ALL_noLOADneg.121 (N=488)	151	18	vf_1_91214
list_ALL_noLOADneg.121 (N=488)	187	13	vf_1_142680
list_ALL_noLOADneg.121 (N=488)	169	20	vf_1_142694
list_ALL_noLOADneg.121 (N=488)	372	16	vf_1_149576
list_ALL_noLOADneg.121 (N=488)	200	29	vf_1_149578
list_ALL_noLOADneg.121 (N=488)	206	70	vf_1_149580
list_ALL_noLOADneg.121 (N=488)	165	14	vf_1_149585
list_ALL_noLOADneg.121 (N=488)	206	44	vf_1_149586
list_ALL_noLOADneg.121 (N=488)	264	119	vf_1_149592
list_ALL_noLOADneg.121 (N=488)	116	31	ef_1_154476
list_ALL_noLOADneg.121 (N=488)	429	8	vf_1_154478
list_ALL_noLOADneg.121 (N=488)	264	20	vf_1_154483
list_ALL_noLOADneg.121 (N=488)	200	17	vf_1_154989
list_ALL_noLOADneg.121 (N=488)	225	106	ef_1_157243
list_ALL_noLOADneg.121 (N=488)	598	13	vf_1_157245
list_ALL_noLOADneg.121 (N=488)	209	18	vf_1_157246
list_ALL_noLOADneg.121 (N=488)	254	108	vf_1_157249
list_ALL_noLOADneg.121 (N=488)	283	8	vf_1_164400
list_ALL_noLOADneg.121 (N=488)	172	56	vf_1_164402
list_ALL_noLOADneg.121 (N=488)	158	14	vf_1_164403
list_ALL_noLOADneg.121 (N=488)	156	130	vf_1_164407
list_ALL_noLOADneg.121 (N=488)	132	48	ef_1_164407
list_ALL_noLOADneg.121 (N=488)	477	13	vf_1_164408
list_ALL_noLOADneg.121 (N=488)	263	9	vf_1_172384
list_ALL_noLOADneg.121 (N=488)	110	22	ef_1_172405
list_ALL_noLOADneg.121 (N=488)	137	25	ef_1_178469
list_ALL_noLOADneg.121 (N=488)	287	8	vf_1_178472
list_ALL_noLOADneg.121 (N=488)	212	30	vf_1_193113
list_ALL_noLOADneg.121 (N=488)	296	8	vf_1_193117
list_ALL_noLOADneg.121 (N=488)	190	82	vf_1_193127
list_ALL_noLOADneg.121 (N=488)	334	14	vf_1_195742
list_ALL_noLOADneg.121 (N=488)	285	68	vf_1_195743
list_ALL_noLOADneg.121 (N=488)	500	20	vf_1_195745
list_ALL_noLOADneg.121 (N=488)	214	43	vf_1_195746
list_ALL_noLOADneg.121 (N=488)	173	32	vf_1_195751
list_ALL_noLOADneg.121 (N=488)	182	44	vf_1_198434
list_ALL_noLOADneg.121 (N=488)	191	11	vf_1_199074
list_ALL_noLOADneg.121 (N=488)	254	11	vf_1_199076
list_ALL_noLOADneg.121 (N=488)	202	44	ef_1_2086
list_ALL_noLOADneg.121 (N=488)	241	28	vf_1_2088
list_ALL_noLOADneg.121 (N=488)	264	18	vf_1_26778
list_ALL_noLOADneg.121 (N=488)	255	80	vf_1_26784
list_ALL_noLOADneg.121 (N=488)	167	24	vf_1_26789
list_ALL_noLOADneg.121 (N=488)	142	70	ef_1_30601
list_ALL_noLOADneg.121 (N=488)	170	53	vf_1_30607
list_ALL_noLOADneg.121 (N=488)	186	24	vf_1_30609
list_ALL_noLOADneg.121 (N=488)	100	43	ef_1_30613
list_ALL_noLOADneg.121 (N=488)	289	19	vf_1_30614
list_ALL_noLOADneg.121 (N=488)	177	62	ef_1_30615
list_ALL_noLOADneg.121 (N=488)	189	26	vf_1_33531
list_ALL_noLOADneg.121 (N=488)	116	92	ef_1_33532
list_ALL_noLOADneg.121 (N=488)	241	12	vf_1_34276
list_ALL_noLOADneg.121 (N=488)	779	27	vf_1_34294
list_ALL_noLOADneg.121 (N=488)	215	44	vf_1_34295
list_ALL_noLOADneg.121 (N=488)	239	57	vf_1_34298
list_ALL_noLOADneg.121 (N=488)	163	8	vf_1_37321
list_ALL_noLOADneg.121 (N=488)	178	37	vf_1_39450
list_ALL_noLOADneg.121 (N=488)	390	233	ef_1_39451
list_ALL_noLOADneg.121 (N=488)	226	23	vf_1_39453
list_ALL_noLOADneg.121 (N=488)	157	133	vf_1_39454
list_ALL_noLOADneg.121 (N=488)	252	71	vf_1_39455
list_ALL_noLOADneg.121 (N=488)	365	19	vf_1_39456
list_ALL_noLOADneg.121 (N=488)	287	60	vf_1_39457
list_ALL_noLOADneg.121 (N=488)	285	71	vf_1_39458
list_ALL_noLOADneg.121 (N=488)	106	40	ef_1_39458
list_ALL_noLOADneg.121 (N=488)	309	62	vf_1_39460
list_ALL_noLOADneg.121 (N=488)	315	8	vf_1_42480
list_ALL_noLOADneg.121 (N=488)	166	16	vf_1_42481
list_ALL_noLOADneg.121 (N=488)	181	21	vf_1_42484
list_ALL_noLOADneg.121 (N=488)	297	31	ef_1_44651
list_ALL_noLOADneg.121 (N=488)	108	20	ef_1_44654
list_ALL_noLOADneg.121 (N=488)	137	10	ef_1_44655
list_ALL_noLOADneg.121 (N=488)	219	33	ef_1_44656
list_ALL_noLOADneg.121 (N=488)	537	34	ef_1_44657
list_ALL_noLOADneg.121 (N=488)	201	61	vf_1_49127
list_ALL_noLOADneg.121 (N=488)	135	60	ef_1_49127
list_ALL_noLOADneg.121 (N=488)	218	11	vf_1_49130
list_ALL_noLOADneg.121 (N=488)	173	11	vf_1_50100
list_ALL_noLOADneg.121 (N=488)	176	36	ef_1_58820
list_ALL_noLOADneg.121 (N=488)	247	11	vf_1_58830
list_ALL_noLOADneg.121 (N=488)	170	12	vf_1_61867
list_ALL_noLOADneg.121 (N=488)	121	26	ef_1_61867
list_ALL_noLOADneg.121 (N=488)	234	23	vf_1_63107
list_ALL_noLOADneg.121 (N=488)	101	45	ef_1_81846
list_ALL_noLOADneg.121 (N=488)	337	37	vf_1_82624
list_ALL_noLOADneg.121 (N=488)	193	132	vf_1_105704
list_ALL_noLOADneg.121 (N=488)	234	44	vf_1_105705
list_ALL_noLOADneg.121 (N=488)	192	28	ef_1_112316
list_ALL_noLOADneg.121 (N=488)	314	15	vf_1_112319
list_ALL_noLOADneg.121 (N=488)	399	29	vf_1_112322
list_ALL_noLOADneg.121 (N=488)	270	16	vf_1_112324
list_ALL_noLOADneg.121 (N=488)	187	46	vf_1_112329
list_ALL_noLOADneg.121 (N=488)	247	34	vf_1_118030
list_ALL_noLOADneg.121 (N=488)	208	52	vf_1_118033
list_ALL_noLOADneg.121 (N=488)	502	43	vf_1_119922
list_ALL_noLOADneg.121 (N=488)	168	34	vf_1_119923
list_ALL_noLOADneg.121 (N=488)	127	27	ef_1_119923
list_ALL_noLOADneg.121 (N=488)	178	77	vf_1_119924
list_ALL_noLOADneg.121 (N=488)	270	64	ef_1_119924
list_ALL_noLOADneg.121 (N=488)	241	22	vf_1_119925
list_ALL_noLOADneg.121 (N=488)	169	8	vf_1_137235
list_ALL_noLOADneg.121 (N=488)	223	49	vf_2_88258
list_ALL_noLOADneg.121 (N=488)	123	9	ef_2_79192
list_ALL_noLOADneg.121 (N=488)	169	44	vf_2_79200
list_ALL_noLOADneg.121 (N=488)	189	15	vf_2_90478
list_ALL_noLOADneg.121 (N=488)	263	17	vf_2_90484
list_ALL_noLOADneg.121 (N=488)	157	41	vf_2_91000
list_ALL_noLOADneg.121 (N=488)	185	10	vf_2_93653
list_ALL_noLOADneg.121 (N=488)	150	41	vf_2_93657
list_ALL_noLOADneg.121 (N=488)	227	8	vf_2_93659
list_ALL_noLOADneg.121 (N=488)	115	13	ef_2_93673
list_ALL_noLOADneg.121 (N=488)	246	38	vf_2_98110
list_ALL_noLOADneg.121 (N=488)	406	12	vf_2_98115
list_ALL_noLOADneg.121 (N=488)	153	76	vf_2_98119
list_ALL_noLOADneg.121 (N=488)	121	59	ef_2_101762
list_ALL_noLOADneg.121 (N=488)	583	14	vf_2_101762
list_ALL_noLOADneg.121 (N=488)	222	74	vf_2_101764
list_ALL_noLOADneg.121 (N=488)	236	10	vf_2_114860
list_ALL_noLOADneg.121 (N=488)	510	10	vf_2_3460
list_ALL_noLOADneg.121 (N=488)	225	13	vf_2_3472
list_ALL_noLOADneg.121 (N=488)	277	16	vf_2_3473
list_ALL_noLOADneg.121 (N=488)	246	49	vf_2_3475
list_ALL_noLOADneg.121 (N=488)	197	10	vf_2_3479
list_ALL_noLOADneg.121 (N=488)	204	35	vf_2_3490
list_ALL_noLOADneg.121 (N=488)	195	10	vf_2_7250
list_ALL_noLOADneg.121 (N=488)	368	8	vf_2_13480
list_ALL_noLOADneg.121 (N=488)	264	8	vf_2_13482
list_ALL_noLOADneg.121 (N=488)	363	17	vf_2_13484
