LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121.S415 (N=27)	561	8	vf_1_89543
list_ALL_noLOADneg.121.S415 (N=27)	429	8	vf_1_154478
list_ALL_noLOADneg.121.S415 (N=27)	598	13	vf_1_157245
list_ALL_noLOADneg.121.S415 (N=27)	477	13	vf_1_164408
list_ALL_noLOADneg.121.S415 (N=27)	500	20	vf_1_195745
list_ALL_noLOADneg.121.S415 (N=27)	779	27	vf_1_34294
list_ALL_noLOADneg.121.S415 (N=27)	537	34	ef_1_44657
list_ALL_noLOADneg.121.S415 (N=27)	502	43	vf_1_119922
list_ALL_noLOADneg.121.S415 (N=27)	583	14	vf_2_101762
list_ALL_noLOADneg.121.S415 (N=27)	510	10	vf_2_3460
list_ALL_noLOADneg.121.S415 (N=27)	610	14	vf_2_19545
list_ALL_noLOADneg.121.S415 (N=27)	425	101	ef_2_46317
list_ALL_noLOADneg.121.S415 (N=27)	449	17	vf_2_50809
list_ALL_noLOADneg.121.S415 (N=27)	448	54	vf_3_87598
list_ALL_noLOADneg.121.S415 (N=27)	518	12	vf_3_98091
list_ALL_noLOADneg.121.S415 (N=27)	516	14	vf_3_137448
list_ALL_noLOADneg.121.S415 (N=27)	470	23	vf_3_137456
list_ALL_noLOADneg.121.S415 (N=27)	489	17	vf_3_56570
list_ALL_noLOADneg.121.S415 (N=27)	486	8	vf_3_68942
list_ALL_noLOADneg.121.S415 (N=27)	436	25	vf_3_74733
list_ALL_noLOADneg.121.S415 (N=27)	494	12	vf_4_76779
list_ALL_noLOADneg.121.S415 (N=27)	581	14	vf_4_90564
list_ALL_noLOADneg.121.S415 (N=27)	433	63	vf_4_39215
list_ALL_noLOADneg.121.S415 (N=27)	481	12	vf_4_45115
list_ALL_noLOADneg.121.S415 (N=27)	873	10	vf_5_42590
list_ALL_noLOADneg.121.S415 (N=27)	465	16	vf_5_150653
list_ALL_noLOADneg.121.S415 (N=27)	483	17	vf_5_73398
