chromosome	start	end	id	score@@peak	strand
chr1	7162	7220	ss_5	-2.62346@@7162	-
chr1	11332	11402	ss_12	-2.62346@@11332	-
chr1	34005	34063	ss_28	-1.27155@@34005	-
chr1	38949	39023	ss_36	-3.02203@@38949	-
chr1	39219	39291	ss_37	-1.27155@@39219	-
chr1	40764	40819	ss_39	-2.08273@@40780	-
chr1	40835	40903	ss_40	-2.62346@@40846	-
chr1	58667	58738	ss_91	-3.02203@@58679	-
chr1	63756	63815	ss_96	-3.02203@@63766	-
chr1	73982	74045	ss_123	-3.02203@@74014	-
chr1	117439	117505	ss_146	-1.27155@@117439	-
chr1	117646	117719	ss_148	-1.27155@@117646	-
chr1	122945	123011	ss_169	-3.59488@@122992	-
chr1	123099	123150	ss_171	-3.02203@@123099	-
chr1	130227	130297	ss_227	-3.33614@@130272	-
chr1	134124	134185	ss_230	-3.33614@@134133	-
chr1	134309	134382	ss_231	-2.08273@@134322	-
chr1	149147	149204	ss_233	-2.62346@@149147	-
chr1	156943	157004	ss_235	-1.27155@@156943	-
chr1	157409	157482	ss_239	-3.59488@@157445	-
chr1	160706	160781	ss_244	-2.62346@@160747	-
chr1	180202	180257	ss_261	-3.33614@@180202	-
chr1	205203	205269	ss_273	-1.27155@@205203	-
chr1	223706	223780	ss_283	-3.33614@@223779	-
chr1	233721	233797	ss_313	-2.62346@@233756	-
chr1	234091	234165	ss_314	-2.62346@@234091	-
chr1	235437	235492	ss_320	-2.08273@@235437	-
chr1	235844	235903	ss_323	-2.62346@@235866	-
chr1	236147	236201	ss_325	-2.62346@@236168	-
chr1	240488	240659	ss_334	-3.02203@@240510	-
chr1	243003	243087	ss_339	-3.02203@@243046	-
chr1	243513	243587	ss_341	-2.62346@@243513	-
chr1	244564	244634	ss_345	-2.62346@@244576	-
chr1	244800	244857	ss_347	-3.33614@@244806	-
chr1	259494	259554	ss_351	-2.62346@@259499	-
chr1	259791	259865	ss_352	-3.02203@@259791	-
chr1	259921	259972	ss_353	-1.27155@@259921	-
chr1	260754	260822	ss_355	-2.08273@@260758	-
chr1	276210	276265	ss_369	-1.27155@@276210	-
chr1	276751	276802	ss_370	-2.08273@@276751	-
chr1	296109	296200	ss_374	-3.02203@@296187	-
chr1	296927	297009	ss_379	-2.08273@@296927	-
chr1	298018	298091	ss_387	-2.08273@@298071	-
chr1	298548	298599	ss_389	-3.02203@@298548	-
chr1	299802	299891	ss_401	-3.33614@@299828	-
chr1	302125	302191	ss_408	-2.62346@@302125	-
chr1	305833	305928	ss_410	-3.33614@@305854	-
chr1	319961	320022	ss_444	-3.59488@@319973	-
chr1	320066	320121	ss_445	-1.27155@@320066	-
chr1	333945	334016	ss_484	-2.62346@@333945	-
chr1	337022	337077	ss_509	-2.62346@@337075	-
chr1	353002	353066	ss_535	-2.08273@@353002	-
chr1	355808	355905	ss_539	-3.33614@@355837	-
chr1	358091	358160	ss_541	-3.33614@@358091	-
chr1	358253	358308	ss_543	-2.08273@@358286	-
chr1	361467	361542	ss_566	-1.27155@@361467	-
chr1	365925	365977	ss_570	-2.62346@@365937	-
chr1	388104	388168	ss_580	-3.33614@@388107	-
chr1	388284	388347	ss_581	-2.18765@@388345	-
chr1	413876	413930	ss_605	-3.33614@@413894	-
chr1	413950	414001	ss_606	-3.02203@@413962	-
chr1	443323	443375	ss_625	-3.59488@@443358	-
chr1	444270	444356	ss_629	-3.02203@@444294	-
chr1	449785	449850	ss_643	-3.59488@@449840	-
chr1	450698	450772	ss_649	-3.59488@@450720	-
chr1	451851	451903	ss_656	-3.33614@@451893	-
chr1	458328	458381	ss_663	-2.08273@@458328	-
chr1	461726	461800	ss_666	-2.62346@@461726	-
chr1	511896	511983	ss_705	-3.59488@@511942	-
chr1	513334	513404	ss_706	-2.62346@@513334	-
chr1	514992	515044	ss_707	-2.08273@@514992	-
chr1	554285	554347	ss_719	-3.02203@@554286	-
chr1	554993	555066	ss_723	-1.27155@@554993	-
chr1	572283	572348	ss_743	-3.59488@@572309	-
chr1	572661	572743	ss_746	-2.08273@@572661	-
chr1	573455	573509	ss_751	-1.27155@@573455	-
chr1	574919	574980	ss_761	-2.62346@@574919	-
chr1	591997	592068	ss_765	-3.33614@@592005	-
chr1	597183	597248	ss_793	-1.27155@@597183	-
chr1	605206	605263	ss_816	-2.08273@@605206	-
chr1	608943	609052	ss_827	-3.33614@@609028	-
chr1	609112	609170	ss_829	-3.02203@@609149	-
chr1	618307	618381	ss_853	-2.62346@@618307	-
chr1	641482	641533	ss_865	-2.08273@@641482	-
chr1	642793	642846	ss_868	-1.72368@@642793	-
chr1	643054	643109	ss_870	-1.27155@@643054	-
chr1	643640	643710	ss_875	-2.62346@@643640	-
chr1	646134	646192	ss_881	-3.59488@@646166	-
chr1	646213	646263	ss_882	-2.64708@@646219	-
chr1	649792	649846	ss_903	-3.33614@@649815	-
chr1	650069	650148	ss_907	-3.59488@@650089	-
chr1	650855	650909	ss_912	-2.62346@@650855	-
chr1	651811	651862	ss_917	-2.08273@@651840	-
