#gene_list: list_Tpos.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 6/7/7
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 19/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G28510.1	protein_coding_gene	1	10023876	10026295	+	2420	1
vf_1_198432	RNA	1	10024441	10024507	268	66	-
AT2G24765.1	protein_coding_gene	2	10562726	10565198	+	2473	4
vf_2_3452	RNA	2	10563047	10563084	179	37	-
vf_2_3453	RNA	2	10563174	10563240	156	66	-
vf_2_3459	RNA	2	10564681	10564711	286	30	-
vf_2_3460	RNA	2	10564749	10564759	510	10	-
AT2G46280.1	protein_coding_gene	2	19003426	19005571	-	2146	1
vf_2_72476	RNA	2	19003681	19003696	152	15	-
AT3G14600.1	protein_coding_gene	3	4910697	4912173	+	1477	6
vf_3_106789	RNA	3	4911286	4911350	203	64	-
vf_3_106790	RNA	3	4911443	4911480	188	37	-
vf_3_106791	RNA	3	4911495	4911509	242	14	-
vf_3_106793	RNA	3	4911650	4911763	237	113	-
ef_3_106793	RNA	3	4911656	4911782	227	126	-
vf_3_106795	RNA	3	4911868	4911897	304	29	-
AT3G54920.1	protein_coding_gene	3	20345082	20348582	+	3501	1
vf_3_56550	RNA	3	20345795	20345805	169	10	-
AT5G23900.1	protein_coding_gene	5	8063985	8065523	-	1539	6
vf_5_161397	RNA	5	8064198	8064206	323	8	-
vf_5_161403	RNA	5	8064759	8064770	284	11	-
vf_5_161404	RNA	5	8064835	8064889	150	54	-
ef_5_161405	RNA	5	8064992	8065050	153	58	-
vf_5_161405	RNA	5	8065002	8065051	219	49	-
vf_5_161406	RNA	5	8065059	8065078	246	19	-
