LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121.L6-300 (N=487)	171	35	ef_1_28314
list_ALL_noLOADneg.121.L6-300 (N=487)	213	17	vf_1_28315
list_ALL_noLOADneg.121.L6-300 (N=487)	275	127	vf_1_28316
list_ALL_noLOADneg.121.L6-300 (N=487)	188	48	vf_1_28319
list_ALL_noLOADneg.121.L6-300 (N=487)	377	25	vf_1_28321
list_ALL_noLOADneg.121.L6-300 (N=487)	165	61	vf_1_55527
list_ALL_noLOADneg.121.L6-300 (N=487)	108	39	ef_1_55529
list_ALL_noLOADneg.121.L6-300 (N=487)	243	41	vf_1_89532
list_ALL_noLOADneg.121.L6-300 (N=487)	561	8	vf_1_89543
list_ALL_noLOADneg.121.L6-300 (N=487)	151	18	vf_1_91214
list_ALL_noLOADneg.121.L6-300 (N=487)	187	13	vf_1_142680
list_ALL_noLOADneg.121.L6-300 (N=487)	169	20	vf_1_142694
list_ALL_noLOADneg.121.L6-300 (N=487)	372	16	vf_1_149576
list_ALL_noLOADneg.121.L6-300 (N=487)	200	29	vf_1_149578
list_ALL_noLOADneg.121.L6-300 (N=487)	206	70	vf_1_149580
list_ALL_noLOADneg.121.L6-300 (N=487)	165	14	vf_1_149585
list_ALL_noLOADneg.121.L6-300 (N=487)	206	44	vf_1_149586
list_ALL_noLOADneg.121.L6-300 (N=487)	264	119	vf_1_149592
list_ALL_noLOADneg.121.L6-300 (N=487)	116	31	ef_1_154476
list_ALL_noLOADneg.121.L6-300 (N=487)	429	8	vf_1_154478
list_ALL_noLOADneg.121.L6-300 (N=487)	264	20	vf_1_154483
list_ALL_noLOADneg.121.L6-300 (N=487)	200	17	vf_1_154989
list_ALL_noLOADneg.121.L6-300 (N=487)	225	106	ef_1_157243
list_ALL_noLOADneg.121.L6-300 (N=487)	598	13	vf_1_157245
list_ALL_noLOADneg.121.L6-300 (N=487)	209	18	vf_1_157246
list_ALL_noLOADneg.121.L6-300 (N=487)	254	108	vf_1_157249
list_ALL_noLOADneg.121.L6-300 (N=487)	283	8	vf_1_164400
list_ALL_noLOADneg.121.L6-300 (N=487)	172	56	vf_1_164402
list_ALL_noLOADneg.121.L6-300 (N=487)	158	14	vf_1_164403
list_ALL_noLOADneg.121.L6-300 (N=487)	156	130	vf_1_164407
