#gene_list: list_Tneg.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 54/76/76
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 161/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
AT1G10660.2	protein_coding_gene	1	3532424	3535131	+	2708	4
vf_1_142680	RNA	1	3533038	3533051	187	13	-
vf_1_142686	RNA	1	3533405	3533440	229	35	-
vf_1_142694	RNA	1	3534107	3534127	169	20	-
vf_1_142699	RNA	1	3534523	3534535	325	12	-
AT1G13570.1	protein_coding_gene	1	4642346	4644422	-	2077	1
vf_1_154989	RNA	1	4642912	4642929	200	17	-
AT1G19680.1	protein_coding_gene	1	6805457	6807862	+	2406	2
vf_1_172384	RNA	1	6805984	6805993	263	9	-
ef_1_172405	RNA	1	6807434	6807456	110	22	-
AT1G26665.2	protein_coding_gene	1	9214174	9215552	+	1379	2
vf_1_193113	RNA	1	9215004	9215034	212	30	-
vf_1_193117	RNA	1	9215391	9215399	296	8	-
AT1G26670.1	protein_coding_gene	1	9215901	9218010	+	2110	2
vf_1_193127	RNA	1	9217011	9217093	190	82	-
vf_1_193130	RNA	1	9217370	9217383	200	13	-
AT1G43580.1	protein_coding_gene	1	16410532	16412728	-	2197	6
ef_1_30601	RNA	1	16410951	16411021	142	70	-
vf_1_30607	RNA	1	16411459	16411512	170	53	-
vf_1_30609	RNA	1	16411786	16411810	186	24	-
ef_1_30613	RNA	1	16412439	16412482	100	43	-
vf_1_30614	RNA	1	16412518	16412537	289	19	-
ef_1_30615	RNA	1	16412542	16412604	177	62	-
AT1G45230.1	protein_coding_gene	1	17169537	17171472	-	1936	2
vf_1_33531	RNA	1	17169901	17169927	189	26	-
ef_1_33532	RNA	1	17169941	17170033	116	92	-
AT1G49240.1	protein_coding_gene	1	18215872	18218313	+	2442	15
vf_1_39448	RNA	1	18216542	18216601	194	59	-
vf_1_39449	RNA	1	18216670	18216712	237	42	-
vf_1_39450	RNA	1	18216722	18216759	178	37	-
vf_1_39451	RNA	1	18216763	18217066	269	303	-
ef_1_39451	RNA	1	18216776	18217009	390	233	-
vf_1_39452	RNA	1	18217159	18217209	422	50	-
vf_1_39453	RNA	1	18217242	18217265	226	23	-
vf_1_39454	RNA	1	18217281	18217414	157	133	-
vf_1_39455	RNA	1	18217433	18217504	252	71	-
vf_1_39456	RNA	1	18217518	18217537	365	19	-
vf_1_39457	RNA	1	18217556	18217616	287	60	-
vf_1_39458	RNA	1	18217623	18217694	285	71	-
ef_1_39458	RNA	1	18217660	18217700	106	40	-
vf_1_39459	RNA	1	18217706	18217776	306	70	-
vf_1_39460	RNA	1	18217884	18217946	309	62	-
AT1G50320.1	protein_coding_gene	1	18638384	18639536	-	1153	3
vf_1_42480	RNA	1	18638727	18638735	315	8	-
vf_1_42481	RNA	1	18638764	18638780	166	16	-
vf_1_42484	RNA	1	18639159	18639180	181	21	-
AT1G52740.1	protein_coding_gene	1	19645268	19646482	+	1215	3
vf_1_49127	RNA	1	19645994	19646055	201	61	-
ef_1_49127	RNA	1	19645995	19646055	135	60	-
vf_1_49130	RNA	1	19646207	19646218	218	11	-
AT1G55000.1	protein_coding_gene	1	20514634	20516496	+	1863	2
ef_1_58820	RNA	1	20514893	20514929	176	36	-
vf_1_58830	RNA	1	20516133	20516144	247	11	-
AT1G56280.1	protein_coding_gene	1	21072855	21074877	-	2023	2
vf_1_63105	RNA	1	21073967	21073976	182	9	-
vf_1_63107	RNA	1	21074079	21074102	234	23	-
AT1G64230.4	protein_coding_gene	1	23833551	23835536	+	1986	2
vf_1_82624	RNA	1	23833805	23833842	337	37	-
vf_1_82626	RNA	1	23834691	23834822	181	131	-
AT1G70660.1	protein_coding_gene	1	26640565	26642149	+	1585	4
vf_1_105704	RNA	1	26640961	26641093	193	132	-
vf_1_105705	RNA	1	26641444	26641488	234	44	-
vf_1_105707	RNA	1	26641638	26641698	169	60	-
vf_1_105708	RNA	1	26641755	26641768	261	13	-
AT1G74880.1	protein_coding_gene	1	28129858	28131077	-	1220	2
vf_1_118030	RNA	1	28130257	28130291	247	34	-
vf_1_118033	RNA	1	28130501	28130553	208	52	-
AT1G80050.1	protein_coding_gene	1	30111514	30113324	-	1811	1
vf_1_137235	RNA	1	30111932	30111940	169	8	-
AT2G06010.1	protein_coding_gene	2	2336814	2338902	+	2089	2
ef_2_79192	RNA	2	2336884	2336893	123	9	-
vf_2_79200	RNA	2	2338073	2338117	169	44	-
AT2G14910.1	protein_coding_gene	2	6406476	6409152	-	2677	2
vf_2_90478	RNA	2	6407044	6407059	189	15	-
vf_2_90484	RNA	2	6407646	6407663	263	17	-
AT2G23390.1	protein_coding_gene	2	9960372	9963623	-	3252	1
vf_2_114860	RNA	2	9961174	9961184	236	10	-
AT2G35830.2	protein_coding_gene	2	15052199	15053275	+	1077	1
vf_2_41263	RNA	2	15052341	15052362	206	21	-
AT2G39000.1	protein_coding_gene	2	16286336	16287970	-	1635	2
vf_2_50809	RNA	2	16286497	16286514	449	17	-
